episode,difficulty,steps,reward,evacuated,final_health,reward_mean_30,success_rate_30
1,easy,200,-22.96,0,30.0,-22.96,0.0
2,easy,1,16.76,1,100.0,-3.1,0.5
3,easy,200,-16.89,0,100.0,-7.6967,0.3333
4,easy,200,-8.24,0,100.0,-7.8325,0.25
5,easy,45,17.34,1,100.0,-2.798,0.4
6,easy,23,17.1,1,100.0,0.5183,0.5
7,easy,200,-7.53,0,100.0,-0.6314,0.4286
8,easy,58,17.15,1,100.0,1.5912,0.5
9,easy,12,18.34,1,100.0,3.4522,0.5556
10,easy,200,-12.04,0,100.0,1.903,0.5
11,easy,108,10.18,1,100.0,2.6555,0.5455
12,easy,132,7.7,1,100.0,3.0758,0.5833
13,easy,107,14.17,1,100.0,3.9292,0.6154
14,easy,57,17.94,1,100.0,4.93,0.6429
15,easy,80,14.65,1,100.0,5.578,0.6667
16,easy,200,-11.21,0,100.0,4.5287,0.625
17,easy,50,19.92,1,100.0,5.4341,0.6471
18,easy,44,14.68,1,100.0,5.9478,0.6667
19,easy,9,17.1,1,100.0,6.5347,0.6842
20,easy,66,16.89,1,100.0,7.0525,0.7
21,easy,82,12.22,1,100.0,7.2986,0.7143
22,easy,55,16.94,1,100.0,7.7368,0.7273
23,easy,20,19.4,1,100.0,8.2439,0.7391
24,easy,16,18.47,1,100.0,8.67,0.75
25,easy,21,18.47,1,100.0,9.062,0.76
26,easy,60,19.69,1,100.0,9.4708,0.7692
27,easy,9,18.38,1,100.0,9.8007,0.7778
28,easy,133,13.98,1,100.0,9.95,0.7857
29,easy,72,20.35,1,100.0,10.3086,0.7931
30,easy,16,17.63,1,100.0,10.5527,0.8
31,easy,25,18.65,1,100.0,11.9397,0.8333
32,easy,40,21.89,1,100.0,12.1107,0.8333
33,easy,10,18.37,1,100.0,13.286,0.8667
34,easy,57,15.42,1,100.0,14.0747,0.9
35,easy,15,17.99,1,100.0,14.0963,0.9
36,easy,15,18.25,1,100.0,14.1347,0.9
37,easy,200,-20.44,0,100.0,13.7043,0.9
38,easy,5,16.9,1,100.0,13.696,0.9
39,easy,31,16.24,1,100.0,13.626,0.9
40,easy,200,-18.79,0,100.0,13.401,0.9
41,easy,34,21.47,1,100.0,13.7773,0.9
42,easy,15,18.27,1,100.0,14.1297,0.9
43,easy,87,13.42,1,100.0,14.1047,0.9
44,easy,33,22.84,1,100.0,14.268,0.9
45,easy,14,18.33,1,100.0,14.3907,0.9
46,easy,200,-18.08,0,100.0,14.1617,0.9
47,easy,41,19.0125,1,99.5,14.1314,0.9
48,easy,11,18.16,1,100.0,14.2474,0.9
49,easy,200,-20.515,0,87.5,12.9936,0.8667
50,easy,28,20.04,1,100.0,13.0986,0.8667
51,easy,5,17.99,1,100.0,13.2909,0.8667
52,easy,30,18.365,1,99.0,13.3384,0.8667
53,easy,7,17.57,1,100.0,13.2774,0.8667
54,easy,7,17.21,1,100.0,13.2354,0.8667
55,easy,21,18.18,1,100.0,13.2258,0.8667
56,easy,32,17.97,1,100.0,13.1684,0.8667
57,easy,5,17.44,1,100.0,13.1371,0.8667
